iter	Passed	Remaining
403	9421	5620
404	9444	5596
405	9468	5573
406	9493	5551
407	9517	5528
408	9540	5505
409	9561	5480
410	9583	5456
411	9606	5432
412	9630	5409
413	9651	5385
414	9673	5361
415	9696	5337
416	9717	5313
417	9740	5289
418	9763	5266
419	9788	5244
420	9811	5220
421	9835	5197
422	9860	5174
423	9884	5151
424	9908	5129
425	9933	5106
426	9958	5083
427	9980	5060
428	10002	5036
429	10027	5013
430	10050	4990
431	10072	4966
432	10096	4943
433	10121	4920
434	10142	4896
435	10165	4873
436	10190	4850
437	10213	4826
438	10238	4804
439	10260	4780
440	10285	4757
441	10309	4735
442	10331	4711
443	10351	4686
444	10376	4663
445	10401	4640
446	10426	4618
447	10447	4594
448	10471	4571
449	10492	4546
450	10514	4522
451	10532	4497
452	10556	4474
453	10577	4450
454	10601	4426
455	10624	4403
456	10647	4380
457	10671	4356
458	10695	4333
459	10721	4311
460	10748	4290
461	10771	4266
462	10795	4243
463	10819	4220
464	10842	4197
465	10869	4175
466	10893	4152
467	10916	4128
468	10939	4105
469	10963	4082
470	10986	4058
471	11008	4034
472	11031	4011
473	11055	3988
474	11079	3965
475	11102	3941
476	11126	3918
477	11149	3895
478	11172	3871
479	11194	3848
480	11216	3824
481	11237	3800
482	11260	3776
483	11279	3752
484	11298	3727
485	11320	3703
486	11345	3680
487	11368	3657
488	11391	3634
489	11415	3610
490	11437	3587
491	11462	3564
492	11486	3541
493	11508	3517
494	11532	3494
495	11557	3471
496	11579	3448
497	11603	3425
498	11625	3401
499	11648	3377
500	11670	3354
501	11693	3330
502	11714	3307
503	11735	3283
504	11757	3259
505	11780	3236
506	11804	3213
507	11827	3189
508	11849	3166
509	11872	3142
510	11894	3119
511	11914	3095
512	11937	3071
513	11962	3048
514	11987	3026
515	12008	3002
516	12033	2979
517	12056	2955
518	12078	2932
519	12103	2909
520	12128	2886
521	12152	2863
522	12173	2839
523	12195	2816
524	12218	2792
525	12243	2769
526	12265	2746
527	12287	2722
528	12308	2699
529	12333	2676
530	12356	2652
531	12381	2629
532	12403	2606
533	12426	2582
534	12450	2559
535	12473	2536
536	12495	2513
537	12518	2489
538	12541	2466
539	12564	2443
540	12589	2420
541	12610	2396
542	12633	2373
543	12656	2349
544	12679	2326
545	12700	2302
546	12723	2279
547	12746	2256
548	12768	2232
549	12793	2209
550	12818	2186
551	12841	2163
552	12865	2140
553	12891	2117
554	12913	2094
555	12938	2071
556	12965	2048
557	12987	2024
558	13011	2001
559	13034	1978
560	13057	1955
561	13082	1932
562	13103	1908
563	13126	1885
564	13147	1861
565	13170	1838
566	13192	1814
567	13218	1791
568	13240	1768
569	13262	1745
570	13285	1721
571	13308	1698
572	13331	1675
573	13353	1651
574	13376	1628
575	13400	1605
576	13425	1582
577	13449	1559
578	13471	1535
579	13494	1512
580	13511	1488
581	13531	1464
582	13548	1440
583	13566	1417
584	13584	1393
585	13597	1369
586	13613	1345
587	13627	1321
588	13639	1296
589	13652	1272
590	13665	1248
591	13679	1224
592	13692	1200
593	13707	1176
594	13721	1153
595	13733	1129
596	13745	1105
597	13758	1081
598	13771	1057
599	13784	1033
600	13799	1010
601	13814	986
602	13827	963
603	13841	939
604	13853	915
605	13868	892
606	13882	869
607	13897	845
608	13912	822
609	13930	799
610	13943	775
611	13955	752
612	13970	729
613	13984	706
614	14000	682
615	14014	659
616	14030	636
617	14045	613
618	14057	590
619	14073	567
620	14086	544
621	14104	521
622	14117	498
623	14130	475
624	14145	452
625	14159	429
626	14173	406
627	14186	384
628	14199	361
629	14211	338
630	14224	315
631	14237	292
632	14249	270
633	14260	247
634	14271	224
635	14282	202
636	14292	179
637	14302	156
638	14311	134
639	14320	111
640	14329	89
641	14339	67
642	14351	44
643	14361	22
644	14370	0
