iter	Logloss
306	0.3152869765
307	0.315273457
308	0.3152578509
309	0.3152335099
310	0.3152127359
311	0.3151863566
312	0.3151697837
313	0.3151566021
314	0.3151395761
315	0.3151254579
316	0.3151074575
317	0.3150907643
318	0.3150746589
319	0.3150544174
320	0.3150385144
321	0.315024334
322	0.3150066135
323	0.3149921704
324	0.3149685343
325	0.3149552439
326	0.3149453294
327	0.314929676
328	0.3149121627
329	0.3148977029
330	0.3148733671
331	0.3148506845
332	0.314838228
333	0.3148210189
334	0.3148043196
335	0.314794652
336	0.3147760596
337	0.3147627114
338	0.3147479716
339	0.3147298662
340	0.314711752
341	0.3146895491
342	0.3146714139
343	0.3146522377
344	0.3146399072
345	0.3146277616
346	0.3146087289
347	0.3145933576
348	0.3145781049
349	0.3145649892
350	0.3145550119
351	0.3145406323
352	0.3145223219
353	0.3145030554
354	0.3144866156
355	0.3144725935
356	0.3144566243
357	0.3144378849
358	0.3144173831
359	0.3144027621
360	0.314386695
361	0.3143783561
362	0.3143522867
363	0.3143312623
364	0.3143120749
365	0.3142960462
366	0.3142744765
367	0.314256655
368	0.3142354491
369	0.3142190935
370	0.3141994462
371	0.3141816749
372	0.3141623569
373	0.3141454118
374	0.3141360661
375	0.3141237389
376	0.3141099442
377	0.3140933721
378	0.3140784001
379	0.3140604319
380	0.314044562
381	0.3140289024
382	0.3140130937
383	0.3139971648
384	0.313983251
385	0.3139745243
386	0.3139632232
387	0.3139511006
388	0.3139360157
389	0.3139208334
390	0.3139124857
391	0.3138979938
392	0.3138934301
393	0.313876955
394	0.3138630096
395	0.3138386733
396	0.3138194027
397	0.313808426
398	0.3137891132
399	0.3137706804
400	0.3137549086
401	0.313736288
402	0.313725094
403	0.3137117178
404	0.3136916924
405	0.3136805349
406	0.3136665625
407	0.3136529544
408	0.3136396833
409	0.3136243263
410	0.313611777
411	0.3135966022
412	0.3135818709
413	0.3135687513
414	0.3135532908
415	0.313544987
416	0.3135343046
417	0.3135223213
418	0.3135087221
419	0.3134878014
420	0.3134753467
421	0.3134623613
422	0.3134477609
423	0.3134346405
424	0.3134186129
425	0.3134014767
426	0.3133925182
427	0.3133823227
428	0.313365753
429	0.3133526145
430	0.3133402772
431	0.3133242694
432	0.3133111798
433	0.3132982973
434	0.3132864163
435	0.3132696658
436	0.3132501375
437	0.3132382106
438	0.3132237806
439	0.3132068022
440	0.3131909702
441	0.3131757939
442	0.3131663005
443	0.3131481621
444	0.313132339
445	0.3131181719
446	0.313100344
447	0.3130882203
448	0.3130774308
449	0.3130652243
450	0.3130556512
451	0.3130332958
452	0.313015334
453	0.313005136
454	0.3129897778
455	0.312976128
456	0.3129646524
457	0.3129498399
458	0.3129294362
459	0.3129102477
460	0.3128984018
461	0.3128870245
462	0.3128724493
463	0.3128532316
464	0.3128393496
465	0.3128193772
466	0.3128180753
467	0.3128052676
468	0.312789085
469	0.3127768395
470	0.3127608019
471	0.3127600462
472	0.3127457899
473	0.3127307122
474	0.3127129606
475	0.3127023854
476	0.3126935145
477	0.3126811295
478	0.3126711348
479	0.312669849
480	0.3126551118
481	0.3126480714
482	0.31262927
483	0.3126286113
484	0.3126189445
485	0.3126059477
486	0.3125925311
487	0.3125789679
488	0.3125645939
489	0.3125522018
490	0.3125429747
491	0.3125275705
492	0.3125123363
493	0.3125075379
494	0.3124931515
495	0.312483111
496	0.3124825253
497	0.3124625269
498	0.3124488016
499	0.3124372383
500	0.3124329107
501	0.31242609
502	0.312410599
503	0.3123934815
504	0.3123794479
505	0.312362772
506	0.3123449238
507	0.3123297964
508	0.312320409
509	0.3123104222
510	0.3123030498
511	0.3123025471
512	0.3122894027
513	0.3122796485
514	0.3122674286
515	0.3122666988
516	0.3122539109
517	0.3122433787
518	0.3122291904
519	0.3122162852
520	0.3122052448
521	0.3121942924
522	0.312181379
523	0.3121808729
524	0.3121674091
525	0.3121597491
526	0.3121592022
527	0.3121484865
528	0.3121479488
529	0.3121357756
530	0.3121256428
531	0.3121107304
532	0.3120953308
533	0.3120947648
534	0.3120841033
535	0.3120719762
536	0.3120605468
537	0.3120508827
538	0.3120337696
539	0.3120169678
540	0.3120073805
541	0.3120069073
542	0.3119897512
543	0.3119800926
544	0.311970144
545	0.3119645643
546	0.3119578893
547	0.3119572531
548	0.3119469251
549	0.3119393983
550	0.3119270274
551	0.3119230519
552	0.3119222732
553	0.3119082758
554	0.3118902181
555	0.3118779109
556	0.3118607214
557	0.311860145
558	0.3118441731
559	0.3118315267
560	0.3118225612
561	0.3118072634
562	0.311806814
563	0.3117947162
564	0.3117834291
565	0.3117722622
566	0.311763845
567	0.311752113
568	0.3117513665
569	0.3117319606
570	0.3117235506
571	0.3117088182
572	0.3116993825
573	0.3116988261
574	0.3116851613
575	0.311672752
576	0.3116587651
577	0.3116490339
578	0.3116378027
579	0.3116372348
580	0.3116367474
581	0.3116296234
582	0.3116292248
583	0.311617809
584	0.3116078027
585	0.3115955208
586	0.3115721106
587	0.3115591179
588	0.3115428687
589	0.3115275268
590	0.3115128698
591	0.3115038456
592	0.3114910825
593	0.3114812017
594	0.3114701018
595	0.311456202
596	0.3114556953
597	0.3114419637
598	0.3114250061
599	0.3114181236
600	0.3114044798
601	0.3113972578
602	0.3113888865
603	0.3113809594
604	0.3113742185
605	0.3113599079
606	0.3113471538
607	0.3113344746
608	0.3113239834
609	0.3113112049
610	0.3113031195
611	0.3113014027
612	0.3112938064
613	0.3112797203
614	0.3112620317
615	0.31125214
616	0.311241079
617	0.3112406945
618	0.3112221552
619	0.3112126325
620	0.3112061553
621	0.3111948492
622	0.3111841683
623	0.3111729386
624	0.311160475
625	0.3111517442
626	0.3111364649
627	0.3111202198
628	0.311119202
629	0.3111068935
630	0.3110956853
631	0.3110849678
632	0.3110710915
633	0.3110555897
634	0.3110421212
635	0.3110261446
636	0.3110256834
637	0.3110142472
638	0.3109990753
639	0.3109849648
640	0.3109702425
641	0.3109685675
642	0.3109639712
643	0.3109555923
644	0.3109467122
3697062
205117
16327364
